"COUNTRY.Name","INDICATOR.Name","TYPE_OF_TRANSFORMATION.Name","FREQUENCY.Name","TIME_PERIOD","OBS_VALUE"
"Djibouti","Loan Accounts, Commercial banks","Number","Annual","2023","54609"
"Dominica","Loan Accounts, Commercial banks","Number","Annual","2020","9666"
"Dominica","Loan Accounts, Commercial banks","Number","Annual","2021","6951"
"Dominica","Loan Accounts, Commercial banks","Number","Annual","2022","9472"
"Dominica","Loan Accounts, Commercial banks","Number","Annual","2023","8584"
"Dominican Republic","Loan Accounts, Commercial banks","Number","Annual","2016","3608370"
"Dominican Republic","Loan Accounts, Commercial banks","Number","Annual","2017","3622741"
"Dominican Republic","Loan Accounts, Commercial banks","Number","Annual","2018","3706625"
"Dominican Republic","Loan Accounts, Commercial banks","Number","Annual","2019","3894923"
"Dominican Republic","Loan Accounts, Commercial banks","Number","Annual","2020","3457316"
"Dominican Republic","Loan Accounts, Commercial banks","Number","Annual","2021","3678210"
"Dominican Republic","Loan Accounts, Commercial banks","Number","Annual","2022","4329572"
"Dominican Republic","Loan Accounts, Commercial banks","Number","Annual","2023","5318242"
"Algeria","Loan Accounts, Commercial banks","Number","Annual","2016","1463244"
"Algeria","Loan Accounts, Commercial banks","Number","Annual","2017","1379641"
"Algeria","Loan Accounts, Commercial banks","Number","Annual","2018","1710985.01"
"Algeria","Loan Accounts, Commercial banks","Number","Annual","2019","1782414"
"Algeria","Loan Accounts, Commercial banks","Number","Annual","2020","1628561"
"Algeria","Loan Accounts, Commercial banks","Number","Annual","2021","1646355"
"Algeria","Loan Accounts, Commercial banks","Number","Annual","2022","1562622"
"Algeria","Loan Accounts, Commercial banks","Number","Annual","2023","1765207"
"Ecuador","Loan Accounts, Commercial banks","Number","Annual","2016","1820370"
"Ecuador","Loan Accounts, Commercial banks","Number","Annual","2017","1798560"
"Ecuador","Loan Accounts, Commercial banks","Number","Annual","2018","1846196"
"Ecuador","Loan Accounts, Commercial banks","Number","Annual","2019","1934108"
"Ecuador","Loan Accounts, Commercial banks","Number","Annual","2020","1784414"
"Ecuador","Loan Accounts, Commercial banks","Number","Annual","2021","1959657"
